source,metric,occ_level,stem_group,stem_class,occ_code_raw,geo_country,geo_region,period,value,unit,snapshot,country,region,company,title,created
eurostat,employment,occupation,SCI,core,ISCO:21,FI,,2025,159.1,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,FR,,2023,1201.0,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,FR,,2024,1257.6,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,FR,,2025,1363.9,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,HR,,2023,49.6,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,HR,,2024,52.0,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,HR,,2025,54.3,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,HU,,2023,147.2,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,HU,,2024,163.1,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,HU,,2025,156.4,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,IE,,2023,107.4,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,IE,,2024,114.3,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,IE,,2025,131.5,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,IS,,2023,7.6,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,IS,,2024,10.0,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,IS,,2025,8.1,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,IT,,2023,608.3,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,IT,,2024,639.0,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,IT,,2025,634.4,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,LT,,2023,45.9,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,LT,,2024,49.7,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,LT,,2025,62.1,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,LU,,2023,15.7,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,LU,,2024,15.2,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,LU,,2025,17.2,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,LV,,2023,23.9,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,LV,,2024,25.8,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,LV,,2025,23.4,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,MK,,2023,17.5,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,MK,,2024,16.7,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,MK,,2025,19.0,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,MT,,2023,8.3,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,MT,,2024,10.2,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,MT,,2025,10.1,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,NL,,2023,361.2,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,NL,,2024,391.8,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,NL,,2025,413.0,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,NO,,2023,91.5,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,NO,,2024,87.3,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,NO,,2025,85.6,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,PL,,2023,572.7,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,PL,,2024,559.3,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,PL,,2025,582.0,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,PT,,2023,182.5,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,PT,,2024,190.8,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,PT,,2025,200.8,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,RO,,2023,264.4,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,RO,,2024,274.7,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,RO,,2025,274.5,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,RS,,2023,74.2,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,RS,,2024,82.4,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,RS,,2025,85.4,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,SE,,2023,200.9,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,SE,,2024,203.6,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,SE,,2025,209.3,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,SI,,2023,43.9,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,SI,,2024,43.4,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,SI,,2025,43.7,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,SK,,2023,55.5,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,SK,,2024,74.0,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,SK,,2025,75.9,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,TR,,2023,591.3,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,TR,,2024,648.4,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,TR,,2025,661.8,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,ICT,core,ISCO:25,AT,,2023,120.8,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,ICT,core,ISCO:25,AT,,2024,128.4,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,ICT,core,ISCO:25,AT,,2025,137.1,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,ICT,core,ISCO:25,BA,,2023,18.0,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,ICT,core,ISCO:25,BA,,2024,19.7,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,ICT,core,ISCO:25,BA,,2025,17.9,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,ICT,core,ISCO:25,BE,,2023,169.8,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
